District,Headquarter,Population,Area,Density,state
Raichur,Raichur,"1,924,773","6,839",228,Karnataka (KA)
Ramanagara,Ramanagara,"1,082,739","3,573",303,Karnataka (KA)
Shimoga,Shimoga,"1,755,512","8,495",207,Karnataka (KA)
Tumakuru,Tumakuru,"2,681,449","10,598",253,Karnataka (KA)
Udupi,Udupi,"1,177,908","3,879",304,Karnataka (KA)
Uttara Kannada,Karwar,"1,353,299","10,291",132,Karnataka (KA)
Vijayapura,Vijayapura,"2,175,102","10,517",207,Karnataka (KA)
Yadgir,Yadgir,"1,172,985","5,225",224,Karnataka (KA)
Vijaynagar,Karnataka (KA),,,,
Alappuzha,Alappuzha,"2,121,943","1,415","1,501",Kerala (KL)
Ernakulam,Kakkanad,"3,279,860","3,063","1,069",Kerala (KL)
Idukki,Painavu,"1,107,453","4,356",254,Kerala (KL)
Kannur,Kannur,"2,525,637","2,961",852,Kerala (KL)
Kasaragod,Kasaragod,"1,302,600","1,989",654,Kerala (KL)
Kollam,Kollam,"2,629,703","2,483","1,056",Kerala (KL)
Kottayam,Kottayam,"1,979,384","2,206",896,Kerala (KL)
Kozhikode,Kozhikode,"3,089,543","2,345","1,318",Kerala (KL)
Malappuram,Malappuram,"4,110,956","3,554","1,058",Kerala (KL)
Palakkad,Palakkad,"2,810,892","4,482",627,Kerala (KL)
Pathanamthitta,Pathanamthitta,"1,195,537","2,652",453,Kerala (KL)
Thrissur,Thrissur,"3,110,327","3,027","1,026",Kerala (KL)
Thiruvananthapuram,Thiruvananthapuram,"3,307,284","2,189","1,509",Kerala (KL)
Wayanad,Kalpetta,"816,558","2,130",383,Kerala (KL)
Agar Malwa,Agar, –,"2,785", –,Madhya Pradesh (MP)
Alirajpur,Alirajpur,"728,677","3,182",229,Madhya Pradesh (MP)
Anuppur,Anuppur,"749,521","3,747",200,Madhya Pradesh (MP)
Ashok Nagar,Ashok Nagar,"844,979","4,674",181,Madhya Pradesh (MP)
Balaghat,Balaghat,"1,701,156","9,229",184,Madhya Pradesh (MP)
Barwani,Barwani,"1,385,659","5,432",256,Madhya Pradesh (MP)
Betul,Betul,"1,575,247","10,043",157,Madhya Pradesh (MP)
Bhind,Bhind,"1,703,562","4,459",382,Madhya Pradesh (MP)
Bhopal,Bhopal,"2,368,145","2,772",854,Madhya Pradesh (MP)
Burhanpur,Burhanpur,"756,993","3,427",221,Madhya Pradesh (MP)
Chachaura-Binaganj,Chachaura, –, –, –,Madhya Pradesh (MP)
Chhatarpur,Chhatarpur,"1,762,857","8,687",203,Madhya Pradesh (MP)
Chhindwara,Chhindwara,"2,090,306","11,815",177,Madhya Pradesh (MP)
Damoh,Damoh,"1,263,703","7,306",173,Madhya Pradesh (MP)
Datia,Datia,"786,375","2,694",292,Madhya Pradesh (MP)
